127.0.0.1 - - [19/Dec/2022:09:11:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/ HTTP/1.1" 200 36568
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/css/css_product.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/css/css_index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/img/img_main/header_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/file/fc35dbd4-2fc6-4852-baf3-f9ba1d7d24da.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/file/fe4fc989-da7f-4881-9e28-89486e9ab4a5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/file/2f94ebd8-f2ab-4f46-b613-5740332cc42a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/file/8fb019d8-4703-48e0-8cff-345b9d0253a6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/img/img_main/slider_item1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/file/8842a4e8-36d8-46fa-b276-350168ccf177.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/img/img_main/slider_item3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/img/img_main/slider_item2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/img/img_main/slider_item4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/img/img_main/slider_item5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/file/48739bb6-8799-4969-8326-81fdc51c24f6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/file/49a5c277-d892-4ceb-897e-10b9cb14b3df.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/file/f2f75c06-93fa-4695-8437-c58cd21fb2ec.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/file/bcc09e1d-e946-4901-a7a2-d6f23888c909.jpg HTTP/1.1" 200 7230
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/file/0776f018-b816-426b-beec-5434162579e9.jpg HTTP/1.1" 200 16285
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/file/7798eb0c-7288-4b9f-9acc-a97b21216b00.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/file/2e09ce9e-e22c-484d-8844-89933b8ed713.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:12 +0900] "GET /Kmarket/file/21b00581-3698-485d-a30c-be8a1c0c7765.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:13 +0900] "GET /Kmarket/file/cfdcb09b-b128-443c-aeac-ec9aeab901d9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:13 +0900] "GET /Kmarket/file/96f82380-eb9b-4fe3-b16b-0009f2f83623.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:13 +0900] "GET /Kmarket/file/9cc8de36-c78a-410f-b1fa-6dd2276eeeeb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:13 +0900] "GET /Kmarket/file/a84b5036-a358-44b8-94d7-237ba3ef2489.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:13 +0900] "GET /Kmarket/file/13d6970f-4019-4bcc-affb-16af88487f7d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:13 +0900] "GET /Kmarket/file/3b0319ea-a448-4928-943c-5c70822ca3d2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:13 +0900] "GET /Kmarket/img/img_main/footer_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:13 +0900] "GET /Kmarket/file/6175976a-dfee-42f9-9db5-bc9516c299ed.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:13 +0900] "GET /Kmarket/img/img_main/ico_freeshipping.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:17 +0900] "GET /Kmarket/member/login.do HTTP/1.1" 200 5244
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:17 +0900] "GET /Kmarket/css/css_member.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:17 +0900] "GET /Kmarket/img/img_user/member_login_banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:17 +0900] "GET /Kmarket/img/img_user/member_certifi_logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:17 +0900] "GET /Kmarket/img/img_user/member_btn_login.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:19 +0900] "POST /Kmarket/member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:19 +0900] "GET /Kmarket/index.do HTTP/1.1" 200 36777
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:21 +0900] "GET /Kmarket/admin/index.do HTTP/1.1" 200 17916
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:21 +0900] "GET /Kmarket/img/img_admin/admin_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:21 +0900] "GET /Kmarket/css/css_admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:21 +0900] "GET /Kmarket/img/img_admin/admin_bg_header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:21 +0900] "GET /Kmarket/_admin/img/admin_bg_aside.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:25 +0900] "GET /Kmarket/admin/product/list.do HTTP/1.1" 200 45075
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/b7f18acd-dd2a-47d6-985f-ff175404aabc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/919a4064-e08e-4e34-8251-a7126eb5dc0e.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/f8f51439-2ad4-48c8-97e7-6f6e136a487c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/f4459866-b24e-4341-a3ad-407aa381d6fe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/6f100df4-5ba9-4a49-848b-b4d5ca115ca2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/d22d677c-44ec-4f09-b004-480ff6002474.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/f35324de-e153-4074-9e44-e0d4a7443134.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/ed3feae9-1073-4193-a1d8-2d0c66a2bfe4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/4c182a43-9a75-4b56-ad6f-293620eb53ff.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/ed0e50cf-f748-414f-b301-865847939a08.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/d306549e-27fc-4968-8570-178ac6c396fa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/57cd2544-7d37-42f4-98b2-b51bb46df4ed.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/7a701f46-3672-480b-9645-65e0c0a93e50.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/be25f4a8-c89f-46fa-8ec3-b72027067a4f.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/fd1e8161-5ce3-49b2-8e30-697698eb1540.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/0d75f98a-0f16-46e0-94f6-d264b52590b9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/fed81f97-948c-4a94-8d90-6c67bbe7cf71.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/083a5185-eddb-46a1-aff3-1e3e03fe04ab.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/212f1f27-b874-4ff5-8635-90714cc31601.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/9ccc8b60-a48c-4ca2-a8b1-ce78cd53f769.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/6405ff83-a877-4485-8bcd-51d7d70f4c0c.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/74588d5d-d8fb-4bc4-9d63-bbd05c7a0774.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/8902db1d-52e4-4394-af83-d5488d3a548b.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/0f7e64ca-e136-4845-8ad8-410d13a73398.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/468368eb-d34f-4a68-9961-879854babeeb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/4dabd34b-b408-46db-b272-6b252d2ce3e2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/6e9f4fb8-96e6-4d7e-8735-f09a7c6d9f8b.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/f302811c-22d1-4605-b917-7a2418bf513e.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/b52981c4-7bad-4c69-8384-e82ae72571a0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/b545b96a-ad36-4233-92ba-486cb92cec0b.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/e3495b10-1f13-4611-8bd7-df9a54acc0e2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/765db079-199c-41f9-8012-f4b848068522.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/f04b995c-12bd-4302-8ba3-03dd0e69bb2c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/79d895a0-4e0f-4ddb-bcd0-6e39d04391f6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/bfc70e3a-d142-4eab-961d-78eddcb79833.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/1c791b18-7ee9-4c7b-ab17-a1deec8233d6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/498179ea-db4e-4ffc-a035-3e893112b675.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/949790e1-5f84-48ad-8d17-532461d67207.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:09:11:26 +0900] "GET /Kmarket/file/e941f8cf-5623-4e54-8988-da84c8aa7050.jpg HTTP/1.1" 304 -
